#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
5000,-593003.0992392874,109700.23388652861,-483302.8653527588,298.84609063003336,432.6084008747732,0
10000,-594197.5289741508,109272.02909195347,-484925.4998821973,297.6795723436623,431.1951308021644,128
15000,-593276.0360080171,109792.91358569008,-483483.12242232705,299.09856926926597,431.00743158178875,129
20000,-593965.1628932399,110012.89984356379,-483952.2630496761,299.69785726372817,431.5114717031422,130
25000,-594389.5223723226,110447.5429946112,-483941.9793777114,300.8819149626752,431.5324951397698,129
30000,-594251.7789948164,109751.42236055981,-484500.35663425655,298.98553860391246,430.82199047039717,130
35000,-594327.171876383,110459.90409161494,-483867.2677847681,300.91558914352777,430.24224283371046,129
40000,-595071.7484030812,110048.98557482962,-485022.7628282516,299.79616224753954,432.3605664097127,129
45000,-593825.7888369332,110657.94083990814,-483167.84799702506,301.45508214123396,432.3169497443829,129
50000,-594063.3206440513,109317.25244970946,-484746.06819434185,297.8027701089881,429.84866613127133,129
55000,-592634.4466623003,110095.45292169828,-482538.993740602,299.92274889609683,432.481015627496,128
60000,-594164.1927148886,110275.02064592674,-483889.1720689619,300.4119284583256,431.43222311957305,128
65000,-593095.9828511411,110028.77801928727,-483067.20483185386,299.7411126933037,434.0213779155536,128
70000,-592842.2609967575,110666.91282655795,-482175.3481701996,301.479523685618,432.696870055817,128
75000,-592881.5151470024,109974.34984237514,-482907.16530462727,299.59283909976574,431.30926468947894,127
80000,-594708.7610056507,110716.31176210451,-483992.44924354623,301.61409658711835,430.86195826034384,127
85000,-594804.7527246056,109852.89678987052,-484951.8559347351,299.2619759042174,431.9472826466335,127
90000,-592191.0971801477,110326.30590213416,-481864.7912780135,300.55164008683863,432.12057493402585,126
95000,-592376.0839481698,110263.10527131805,-482112.9786768518,300.37946851732056,431.26162089033613,126
100000,-593223.0655095498,110208.68557456671,-483014.3799349831,300.2312180254918,431.15233119789855,126
105000,-593756.1620287918,110710.46238226217,-483045.6996465297,301.59816166850817,432.3359924071238,125
110000,-592682.4044261859,110318.30324894027,-482364.1011772456,300.52983920695965,433.50414360268024,125
115000,-592407.1963233724,110600.0552859352,-481807.14103743725,301.2973899386206,432.25576923256097,125
120000,-593307.2342772712,110685.05299081106,-482622.18128646014,301.52894123905764,432.9643009596843,125
125000,-592799.7550432514,110969.9986997213,-481829.75634353014,302.3051921925215,433.4512109805458,124
130000,-594259.0166170802,109647.21324620675,-484611.80337087344,298.70165145682904,431.0849667774991,124
135000,-593206.0035524392,110805.10748618748,-482400.8960662517,301.8559944761812,431.49790920147916,124
140000,-593185.4941374562,111428.11423295492,-481757.37990450126,303.55319350768167,431.16299120599456,124
